iter	MultiClass
0	0.6464264369
1	0.6068693002
2	0.573750941
3	0.5465902649
4	0.5244271094
5	0.5054821234
6	0.4885932074
7	0.47511562
8	0.4620571952
9	0.4504121586
10	0.4409179626
11	0.4318556086
12	0.4240704653
13	0.4175556572
14	0.411289609
15	0.4059520601
16	0.4012703673
17	0.396573302
18	0.3925706933
19	0.3886064999
20	0.3852842782
21	0.3817990725
22	0.3790581331
23	0.3765666989
24	0.374905628
25	0.3721617832
26	0.3701913397
27	0.3682583272
28	0.3665166926
29	0.3648473133
30	0.3632810073
31	0.3616150746
32	0.3602333601
33	0.3590824549
34	0.3577759712
35	0.3566749581
36	0.355401946
37	0.35437927
38	0.3531895719
39	0.3518214669
40	0.3509166145
41	0.3498934894
42	0.3488451675
43	0.3478395882
44	0.3467216146
45	0.345920499
46	0.3449888893
47	0.3441225696
48	0.3432207895
49	0.3425026387
