iter	Passed	Remaining
0	640	31402
1	1478	35494
2	2405	37681
3	3053	35117
4	3695	33260
5	4380	32124
6	5031	30908
7	5700	29929
8	6364	28992
9	7042	28168
10	7693	27277
11	8403	26611
12	9085	25857
13	9752	25077
14	10433	24344
15	11105	23598
16	11730	22771
17	12382	22013
18	13050	21292
19	13707	20561
20	14405	19893
21	15040	19141
22	15670	18396
23	16360	17724
24	16956	16956
25	17638	16281
26	18250	15546
27	18861	14820
28	19446	14082
29	20142	13428
30	20745	12714
31	21324	11995
32	21992	11329
33	22582	10626
34	23187	9937
35	23810	9259
36	24451	8591
37	25095	7924
38	25711	7252
39	26371	6592
40	26967	5919
41	27553	5248
42	28186	4588
43	28823	3930
44	29464	3273
45	30061	2614
46	30694	1959
47	31326	1305
48	31966	652
49	32619	0
